	Visual Properties						Labels				Layout						Graph Metrics									Do Not Edit		Other Columns																		
Vertex	Color	Shape	Size	Opacity	Image File	Visibility	Label	Label Fill Color	Label Position	Tooltip	Layout Order	X	Y	Locked?	Polar R	Polar Angle	Degree	In-Degree	Out-Degree	Betweenness Centrality	Closeness Centrality	Eigenvector Centrality	PageRank	Clustering Coefficient	Reciprocated Vertex Pair Ratio	ID	Dynamic Filter	Add Your Own Columns Here	Followed	Followers	Tweets	Favorites	Time Zone UTC Offset (Seconds)	Description	Location	Web	Time Zone	Joined Twitter Date (UTC)	Custom Menu Item Text	Custom Menu Item Action	Tweeted Search Term?	User of Interest?				
yummy_vivi					http://pbs.twimg.com/profile_images/527247975928459264/XxUFCyql_normal.jpeg					"yummy_vivi

@daniel_ak92 included :) “@TIME:
iPhone 6 owners registered more
than 1 million credit cards on
Apple Pay in 3 days http://t.co/gFN8apVdMj”"																			1089	8142	98966	367	25200	Myself and my will prove irresistible. I was born for plenitude and inner fulfillment.	planet earth	http://t.co/oiLiyBjSF4	Jakarta	40503.60348	Open Twitter Page for This Person	https://twitter.com/yummy_vivi	Yes					
time					http://pbs.twimg.com/profile_images/1700796190/Picture_24_normal.png					"time

"																			773	6393876	97294	373	-14400	Breaking news and current events from around the globe. Hosted by TIME staff. Tweet questions to our customer service team @TIMEmag_Service.		http://t.co/4aYbUuAeSh	Eastern Time (US & Canada)	39541.57951	Open Twitter Page for This Person	https://twitter.com/time	No					
daniel_ak92					http://pbs.twimg.com/profile_images/517839362105815040/68fZLzWB_normal.jpeg					"daniel_ak92

RT @yummy_vivi: @daniel_ak92 included
:) “@TIME: iPhone 6 owners registered
more than 1 million credit cards
on Apple Pay in 3 days http://…"																			2984	5532	29413	239	-25200	My Pride | My Ego | My Needs | My Selfish Way	MI-United State		Arizona	40628.14551	Open Twitter Page for This Person	https://twitter.com/daniel_ak92	Yes					
vibejus10					http://pbs.twimg.com/profile_images/520014127730020352/c2mIVFtd_normal.jpeg					"vibejus10

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			260	349	8416	1553	-7200	I want to swallow your song so she can play the nearest to my heart    @justinbieber		https://t.co/NnzghNf3pR	Mid-Atlantic	41394.44995	Open Twitter Page for This Person	https://twitter.com/vibejus10	Yes					
danielaperezlo					http://pbs.twimg.com/profile_images/486888478555521024/m15U2qh2_normal.jpeg					"danielaperezlo

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			284	72	546	17		40382.34861				41630.96479	Open Twitter Page for This Person	https://twitter.com/danielaperezlo	Yes					
virgoct12					http://pbs.twimg.com/profile_images/485667336225959936/NA5ieE00_normal.jpeg					"virgoct12

@JaredLeto What??. Are we doing
copycat now,Jared?.hehehe-I'm grinning
away at this.Wish U &amp; every1
a grand ball in Big Apple,honey
pea.:)"																			21	22	3741	3791	28800	"If the only prayer you ever say in your entire life is thank you, it will be enough."	"Kuala Lumpur, M'sia"		Kuala Lumpur	41054.73639	Open Twitter Page for This Person	https://twitter.com/virgoct12	Yes					
jaredleto					http://pbs.twimg.com/profile_images/525865073613361152/FwnS6VzD_normal.jpeg					"jaredleto

"																			130	1869198	20994	3428	-25200	LOVE LUST FAITH + DREAMS • ARTIFACT both avail on itunes now	@CREEPS	http://t.co/Ggdyibd25O	Pacific Time (US & Canada)	39902.82003	Open Twitter Page for This Person	https://twitter.com/jaredleto	No					
mackenzie_keefe					http://pbs.twimg.com/profile_images/527175964225458178/RabE3SEB_normal.jpeg					"mackenzie_keefe

tonight a co-worker told me my
head is ""shaped like an apple but
in a good way"" thx :)"																			121	149	2559	3613		Guten Pranken				41217.68304	Open Twitter Page for This Person	https://twitter.com/mackenzie_keefe	Yes					
_psychl0					http://pbs.twimg.com/profile_images/515789458864898048/etwE7nNT_normal.jpeg					"_psychl0

@Jigglyspliff nachos and raspberry
and apple crumble with ice cream
:)"																			281	704	30290	8750	0	"There's more to me than 34DD // 18
private - @txkemedexd"	Brighton		Lisbon	40519.67128	Open Twitter Page for This Person	https://twitter.com/_psychl0	Yes					
jigglyspliff					http://pbs.twimg.com/profile_images/512557568351567873/0vZ4F9cQ_normal.jpeg					"jigglyspliff

"																			184	334	18045	5537		"cracking cheese, Gromit"				41469.98066	Open Twitter Page for This Person	https://twitter.com/jigglyspliff	No					
ensaryazici2					http://pbs.twimg.com/profile_images/378800000867838424/DhGrMdfh_normal.jpeg					"ensaryazici2

Apple dan randevu alm?? adam?m,
bana imkans?zdan bahsetmeyin :))"																			2412	3049	1074	1405		?leti?im için önce amaç belirle! ?imdi kürsüyü tweetlere b?rak?yorum. || || || Plaka: 61	Çanakkale ÇOMÜ ( ?lahiyat)	http://t.co/h2b7hRXLdS		41007.43155	Open Twitter Page for This Person	https://twitter.com/ensaryazici2	Yes					
mahsumaktas					http://pbs.twimg.com/profile_images/510508677527506944/E6hFa2Mi_normal.jpeg					"mahsumaktas

Fazladan Apple Zorlu randevusu
olan var m? acaba? :)"																			42	282	947	917	10800		?stanbul		Baghdad	41163.39603	Open Twitter Page for This Person	https://twitter.com/mahsumaktas	Yes					
idkbieberft5sos					http://pbs.twimg.com/profile_images/527226034002092032/cLRoEKdv_normal.jpeg					"idkbieberft5sos

RT @MadisonElleBeer: #UnbreakableRemix
by @MonsieurAdi tomorrow :) Until
then you can get the original #Unbreakable
on iTunes: http://t.c…"																			1522	1738	14142	6805	-18000	5sos and Justin are better than pizza	Stuck in the fan zone.		Central Time (US & Canada)	40584.62354	Open Twitter Page for This Person	https://twitter.com/idkbieberft5sos	Yes					
monsieuradi					http://pbs.twimg.com/profile_images/516561852520624128/-Yml41j3_normal.jpeg					"monsieuradi

"																			333	4623	8439	3309	3600	Make it gold. Management : Jordan Jay · jj@karmaartists.co.uk / Ross Gautreau · rg@karmaartists.co.uk	Paris / Minneapolis	http://t.co/Baf1VjNOMb	Paris	39550.11983	Open Twitter Page for This Person	https://twitter.com/monsieuradi	No					
madisonellebeer					http://pbs.twimg.com/profile_images/526481379966861312/ufVCB1ib_normal.jpeg					"madisonellebeer

"																			17643	908142	7347	1496	-25200	I make music & love to sing  • chase your dreams. #Unbreakable is available on iTunes: http://t.co/EE51x3qN21		http://t.co/4veKgfhuJg	Arizona	40545.61985	Open Twitter Page for This Person	https://twitter.com/madisonellebeer	No					
crxicniallerx					http://pbs.twimg.com/profile_images/526672330152357888/TpgTU3E__normal.jpeg					"crxicniallerx

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			994	1781	27524	11584	28800	LOVE . LIGHT . POWER . DANGER . MYSTERY	still waiting/5		Kuala Lumpur	40867.33705	Open Twitter Page for This Person	https://twitter.com/crxicniallerx	Yes					
carlgoldfinger					http://pbs.twimg.com/profile_images/1790927234/carlgold5_normal.jpg					"carlgoldfinger

@sunnylane ...f**k the Paradise,
I'll pick Sunny's apple ;)...haha
:) ...lol &amp; xox"																			142	210	12406	10744	3600	"I don't fear the Chaos, I love it !
I'm a universe of possibilities."			Berlin	40493.01631	Open Twitter Page for This Person	https://twitter.com/carlgoldfinger	Yes					
sunnylane					http://pbs.twimg.com/profile_images/417486926141083648/5NoRsHRU_normal.jpeg					"sunnylane

"																			1006	47261	5116	1268	-25200	AVN Award-Winning Adult Film Star! The Girl Next Door Still Hardcore! -- NO DM. Join http://t.co/OcVlQsu5du or book an apt. at the @BunnyRanch to talk to me. --	Los Angeles	http://t.co/OcVlQsu5du	Pacific Time (US & Canada)	41164.21813	Open Twitter Page for This Person	https://twitter.com/sunnylane	No					
alihdirectioner					http://pbs.twimg.com/profile_images/522038441593544704/OLPQtEX0_normal.jpeg					"alihdirectioner

RT @zaynmalik: Our new album is
called FOUR :) http://t.co/SsP5SAatsW"																			465	361	10336	158	-7200	? Directioner com muito Orgulho ? Amo tocar Violão ? Amor Eterno pela One Direction ?			Brasilia	41168.04006	Open Twitter Page for This Person	https://twitter.com/alihdirectioner	Yes					
araasolrojas					http://pbs.twimg.com/profile_images/527165061513871360/RjCb1yd3_normal.jpeg					"araasolrojas

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			2002	1562	48392	27403		Los sueños si se hacen realidad Los amo BTR 16/02/14 ?alli followed me 22/3/14. PLEASE RETWEET https://t.co/ga8Tw8291t				41625.06444	Open Twitter Page for This Person	https://twitter.com/araasolrojas	Yes					
rockyroxi					http://pbs.twimg.com/profile_images/191564404/rockylogo_normal.jpg					"rockyroxi

RT @mery_rox: Una MacBook Pro a
este precio increíble? WOW! 6000
pe para tuiteros http://t.co/VkGZ8votlb
RT porfi :)"																			157	57	2173	513	-10800	Kinesiologo	Arrecifes  Argentina		Buenos Aires	39751.0561	Open Twitter Page for This Person	https://twitter.com/rockyroxi	Yes					
x_diina_x					http://pbs.twimg.com/profile_images/501156608282750977/eZcFVT0r_normal.jpeg					"x_diina_x

RT @zaynmalik: UK, have you pre-orderded
Steal My Girl? :) http://t.co/Gu85h9G5eJ"																			118	219	9141	846	3600	?? Demi Lovato - One Direction - Glee ??		http://t.co/iEc7LR5xoJ	Paris	40692.45024	Open Twitter Page for This Person	https://twitter.com/x_diina_x	Yes					
tori_aultman					http://pbs.twimg.com/profile_images/526898174850772992/gmiNJx4t_normal.jpeg					"tori_aultman

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			70	53	1191	779		"Don't wait for the perfect moment, take the moment and make it perfect :)                             Intagram: tori_aultman"	Michigan			41819.04759	Open Twitter Page for This Person	https://twitter.com/tori_aultman	Yes					
jesinutri					http://pbs.twimg.com/profile_images/518856316207767552/8dj69Ncy_normal.jpeg					"jesinutri

RT @mery_rox: Una MacBook Pro a
este precio increíble? WOW! 6000
pe para tuiteros http://t.co/VkGZ8votlb
RT porfi :)"																			126	365	3273	3655	-10800	Life is what happens to you while you're busy making other plans	jesicanutricion@gmail.com		Santiago	40730.02769	Open Twitter Page for This Person	https://twitter.com/jesinutri	Yes					
fckwithwilly					http://pbs.twimg.com/profile_images/526836191770189824/j9_dLX3b_normal.jpeg					"fckwithwilly

@WordOnRd Only is on iTunes https://t.co/9Un0SJo3aO
:)"																			341	2313	45515	1151	-14400	i'm trying to get a hold on this. | @NICKIMINAJ			Eastern Time (US & Canada)	40434.14395	Open Twitter Page for This Person	https://twitter.com/fckwithwilly	Yes					
wordonrd					http://pbs.twimg.com/profile_images/484866012416724993/qBkaEgSp_normal.jpeg					"wordonrd

"																			80	58899	22776	903		Official @Drake Fansite | Instagram: WordOnRd | Email: WordOnRd@Gmail.Com | Fan Club App: http://t.co/oGRjHQcoGb	Views From The 6	http://t.co/MdANFYSso5		40983.07403	Open Twitter Page for This Person	https://twitter.com/wordonrd	No					
ovokimberly					http://pbs.twimg.com/profile_images/527175741474369538/Gcy7FD6o_normal.jpeg					"ovokimberly

“@fckwithWILLY: @WordOnRd Only
is on iTunes https://t.co/3q0oLQxVwo
:)”"																			769	1192	53597	6196	-10800	sail your soul ... dont sell your soul	NY	http://t.co/J9IMg9obL0	Atlantic Time (Canada)	41189.89191	Open Twitter Page for This Person	https://twitter.com/ovokimberly	Yes					
backpack69					http://pbs.twimg.com/profile_images/512038561819164673/_eAs9Z5k_normal.jpeg					"backpack69

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			2627	2656	12833	1384	-16200	"lovatic,directioner,smiler,belieber,larryshipper                                                                    ~@Lavalen8gordis mi princesa ?"	maracay-Venezuela	https://t.co/IntJnLQfZy	Caracas	41721.67353	Open Twitter Page for This Person	https://twitter.com/backpack69	Yes					
sayharrything					http://pbs.twimg.com/profile_images/527207000032030720/xKBZXd5i_normal.png					"sayharrything

RT @Louis_Tomlinson: You can get
your hands on the “Midnight Memories
EP” on Sunday :-) http://t.co/27LMDbyYC1"																			558	2621	43773	957	-7200	just like star across my sky just like an angel off the page you have appeared to my life feel like never i'll be the same...honor love you @harry_styles			Brasilia	41091.61179	Open Twitter Page for This Person	https://twitter.com/sayharrything	Yes					
ramil_fevralsky					http://pbs.twimg.com/profile_images/506876441787899904/0yL3PXh__normal.jpeg					"ramil_fevralsky

@Iuliiya ?????? :) Send by http://t.co/4VLDgduN9K"																			70	39	194	4	14400		?????-????????? 		St. Petersburg	40496.87794	Open Twitter Page for This Person	https://twitter.com/ramil_fevralsky	Yes					
irkapotter					http://pbs.twimg.com/profile_images/497302938994241536/ZL1pwHtZ_normal.jpeg					"irkapotter

"																			55	170	2638	1713	14400		??????? ?????	http://t.co/XntcBRzyp2	Moscow	40355.71917	Open Twitter Page for This Person	https://twitter.com/irkapotter	No					
iuliiya					http://pbs.twimg.com/profile_images/502890883436789760/mJQNakd1_normal.jpeg					"iuliiya

"																			542	125	10656	452	14400	My name is Juliya. I'm 17. I'm from Russia?? I'm the ECHELON ? ø lll ·o.	"St.Petersburg(Sosnoviy Bor),"	https://t.co/AYqTB3aHmn	St. Petersburg	40707.65057	Open Twitter Page for This Person	https://twitter.com/iuliiya	No					
harrychxppy					http://pbs.twimg.com/profile_images/525261252239441920/-H9pMuZg_normal.jpeg					"harrychxppy

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			630	351	4588	4952		"? Real bands save fans, real fans save bands. ? 114 days ?"	"Perth, Australia."			41803.1733	Open Twitter Page for This Person	https://twitter.com/harrychxppy	Yes					
casseydwilson3					http://pbs.twimg.com/profile_images/378800000150074479/9826fd526dfe4ac4430d844eefb8d2be_normal.jpeg					"casseydwilson3

I made this painting with Kids
Doodle on iPhone :) http://t.co/VvYg51nZLS
http://t.co/xYi8NdTs4b"																			1	1	3	0						41473.20378	Open Twitter Page for This Person	https://twitter.com/casseydwilson3	Yes					
alexbillyard					http://pbs.twimg.com/profile_images/2164431879/IMG_3901_normal.jpg					"alexbillyard

@Allienz78 @xtoferJ because they
will be accepting of payWave /
Apple pay :) #gigatowndunedin"																			387	151	461	0	46800	"Systems Administrator, Gadget lover, UFB haver."	Dunedin		Nuku'alofa	39901.43947	Open Twitter Page for This Person	https://twitter.com/alexbillyard	Yes					
xtoferj					http://pbs.twimg.com/profile_images/519792510202163200/ZpR6AjmX_normal.jpeg					"xtoferj

"																			48	57	545	4			Dunedin NZ			41920.0949	Open Twitter Page for This Person	https://twitter.com/xtoferj	No					
allienz78					http://pbs.twimg.com/profile_images/522976950717935616/70IbgTyp_normal.jpeg					"allienz78

"																			195	108	1390	1		"Litigator at Anderson Lloyd; fan of the great outdoors; amateur restaurant critic; lover of NZ fashion, art, music; enthusiastic discoverer of new experiences"	"Dunedin, NZ"			40531.18544	Open Twitter Page for This Person	https://twitter.com/allienz78	No					
nataliethaile					http://pbs.twimg.com/profile_images/378800000214505870/2c924ef23e4c537f640fc01a0f03e92f_normal.jpeg					"nataliethaile

Ý t??ng ??a giao di?n khác l? c?a
Apple Watch lên iPhone http://t.co/xKLnZdcRsZ
for Vietnamese (like me :D)"																			131	149	25821	4	25200	"I'm here to make friends. Learning English and all new culture.
I believe : World without stranger !!!"	Viet Nam-HCM city	http://t.co/nQdSpqn6P2	Hanoi	40881.24098	Open Twitter Page for This Person	https://twitter.com/nataliethaile	Yes					
niallorgasmo_					http://pbs.twimg.com/profile_images/514887760571031552/TZ9UjhAJ_normal.jpeg					"niallorgasmo_

RT @Louis_Tomlinson: :) go get
it now !!!!! Please :) http://t.co/SdJtv1Lr6u"																			1248	984	18587	3854	-7200	"Red Bull te da asas, mas só Fly te faz voar.
•1D 0/5 • Fly 0/3 • 5sos 0/4 • ? 11/05 WWAT ?"	COXA DO HARRY /SP		Brasilia	41458.53826	Open Twitter Page for This Person	https://twitter.com/niallorgasmo_	Yes					
baewatch69					http://pbs.twimg.com/profile_images/526970516356476928/Ejee0QkC_normal.jpeg					"baewatch69

ur body feels so small nd shy when
all uve eaten is string cheese
and a rotten apple :)"																			200	218	18431	4944	-10800	nuerosis circa 94	new york 	http://t.co/ZsN9bd1L7E	Atlantic Time (Canada)	41101.73112	Open Twitter Page for This Person	https://twitter.com/baewatch69	Yes					
apple_hyuk					http://pbs.twimg.com/profile_images/526060275456167938/iayT8k5u_normal.jpeg					"apple_hyuk

RT @SeniorSWU: #?????????? : 7
????????? (?????????? 9 ????????????????)
????????????????????????????????????????????
???????????????????? …"																			366	173	32282	954		"Hi!! My new followers,,follow me tell me plaese!*Thank you all ;)#??????????????????????????????#??SJ?1??????????????*:.?. o(???)o .?.:*?"	"Bangkok,Thailand"	http://t.co/nTxMpmB0X5		40779.69032	Open Twitter Page for This Person	https://twitter.com/apple_hyuk	Yes					
seniorswu					http://pbs.twimg.com/profile_images/503779827036336128/amM6QVVF_normal.png					"seniorswu

"																			15	31042	6458	25	25200	??? ??? ????????? ?????????????????-??? :: ??????????????????? ????????????????????	??????????????????????????	https://t.co/rfxB5A5u76	Bangkok	41383.0878	Open Twitter Page for This Person	https://twitter.com/seniorswu	No					
razifrahman_					http://pbs.twimg.com/profile_images/526669920424046594/zxFDwozo_normal.jpeg					"razifrahman_

RT @zaynmalik: Our @5SOS boys have
their single out this week! Make
sure you grab a copy :) sick song
and sick video http://t.co/r5YqARUYzG"																			999	1039	7049	93	28800	Never give up on your dreams. Dreams do come true soon. IG : RAZIFR17			Beijing	41591.40811	Open Twitter Page for This Person	https://twitter.com/razifrahman_	Yes					
pekenadofly					http://pbs.twimg.com/profile_images/519184000808943616/_zqAkcye_normal.jpeg					"pekenadofly

RT @zaynmalik: Our @5SOS boys have
their single out this week! Make
sure you grab a copy :) sick song
and sick video http://t.co/r5YqARUYzG"																			945	1504	41189	26865	-7200	1D (0/5) FLY (2/3) 5SOS (0/4) E3 (3/2) DREW (0/1)			Brasilia	40910.69553	Open Twitter Page for This Person	https://twitter.com/pekenadofly	Yes					
swaynemari					http://pbs.twimg.com/profile_images/526956695566970880/6tGDMDtH_normal.jpeg					"swaynemari

@EmblemThree @KeatonStromberg #ForeverTogetherToNumber1
Everyone buy it, please! The guys
have increible songs!! :D http://t.co/6VS7dwyxA0"																			247	71	818	895	-18000				Quito	40905.07234	Open Twitter Page for This Person	https://twitter.com/swaynemari	Yes					
keatonstromberg					http://pbs.twimg.com/profile_images/526593350905106432/NT4gUsjb_normal.jpeg					"keatonstromberg

"																			16871	733345	6843	4348	-25200	#ForeverTogetherOutNow! #ForeverTogetherToNumber1 on iTunes:	"Los Angeles, CA"	http://t.co/vpBHGBmkYc	Pacific Time (US & Canada)	40191.14688	Open Twitter Page for This Person	https://twitter.com/keatonstromberg	No					
cami_kano					http://pbs.twimg.com/profile_images/502246664308940800/ltcFsFXN_normal.jpeg					"cami_kano

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			1750	618	4765	1391	-14400	One Direction\5sos\James David Rodríguez Rubio\Ian Somerhalder My Big Day 23/07/10 - 25/04/14 ?	Medellin-Colombia	https://t.co/LhtEmFpFNd	Eastern Time (US & Canada)	41424.06076	Open Twitter Page for This Person	https://twitter.com/cami_kano	Yes					
sosbieberplanet					http://pbs.twimg.com/profile_images/521366671140061185/XdRse43A_normal.jpeg					"sosbieberplanet

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			962	877	8859	1128	-36000	THANK YOU JUSTIN ?? ?Belieber?	Brazil		Hawaii	41152.71311	Open Twitter Page for This Person	https://twitter.com/sosbieberplanet	Yes					
dowjack					http://pbs.twimg.com/profile_images/94393980/dwhite_avatar_normal.jpg					"dowjack

@keyvan I blame it on apple pay.
:)"																			154	93	257	21	-18000				Central Time (US & Canada)	39884.98603	Open Twitter Page for This Person	https://twitter.com/dowjack	Yes					
keyvan					http://pbs.twimg.com/profile_images/519467879100850176/uz7wFph0_normal.jpeg					"keyvan

"																			96	978	36841	18	-21600		"Dallas, TX"		Central America	39109.57456	Open Twitter Page for This Person	https://twitter.com/keyvan	No					
kylexsicat					http://pbs.twimg.com/profile_images/527040698839617538/T66XJbVk_normal.jpeg					"kylexsicat

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			415	659	15524	2043	-25200	me tryin to reach the anabelle look	trying hard		Pacific Time (US & Canada)	41317.37201	Open Twitter Page for This Person	https://twitter.com/kylexsicat	Yes					
sclono					http://pbs.twimg.com/profile_images/525142979845963776/HJxk1wBg_normal.jpeg					"sclono

RT @KudosTheBand: https://t.co/0NPiIg8JDK
It would be great if you could
buy our album and leave us a little
review :)"																			1867	1484	49026	41772		A happy 45 year old guy from Sydney who enjoys lfe & maintaining fitness. Also love listening to great music.	"Sydney, Australia"			40664.14223	Open Twitter Page for This Person	https://twitter.com/sclono	Yes					
kudostheband					http://pbs.twimg.com/profile_images/516329604047728643/CczdQSUj_normal.jpeg					"kudostheband

"																			57800	124886	27540	22662	0	Rock band from Glasgow CHECK US OUT ON YOUTUBE HERE - https://t.co/kQcexdLMPt	Glasgow - YouTube - Kudos UK	http://t.co/jKP7PDBI3Q	London	40925.0359	Open Twitter Page for This Person	https://twitter.com/kudostheband	No					
bad_girls_1d					http://pbs.twimg.com/profile_images/523542559579471872/O-oHzcM-_normal.jpeg					"bad_girls_1d

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			1966	926	1947	1432		"Were We are tour colombia HAZZA,NIALLER,DJ MALIK,BOO BEAR,LEYUM 25/04/2014 ELEOUNOR,ZERRIE,SOPHIAM COLOMBIA:) the 1975 and imagine dragons"				41793.75152	Open Twitter Page for This Person	https://twitter.com/bad_girls_1d	Yes					
suryarenaldi					http://pbs.twimg.com/profile_images/527168420077260800/J_CRYcdg_normal.jpeg					"suryarenaldi

:D @detikcom Apple Ngeles Soal
Bug di iOS 8 http://t.co/1jtq89WatQ
via @detikinet"																			279	333	6909	57	-10800	?Anna Alsya? | Path : Surya Diego	"Cipanas,Jawa Barat,Indonesia"	http://t.co/x0Po4At2cC	Greenland	41033.57729	Open Twitter Page for This Person	https://twitter.com/suryarenaldi	Yes					
detikinet					http://pbs.twimg.com/profile_images/496145851345928192/vmaoj_l6_normal.jpeg					"detikinet

"																			43	351575	44395	144	25200	"Akun resmi situs berita internet & teknologi . Update Banget!
Contact: redaksi@detikinet.com | promosi@detik.com"	"Jakarta, Indonesia"	http://t.co/xStLQAjqwK	Jakarta	40290.37416	Open Twitter Page for This Person	https://twitter.com/detikinet	No					
detikcom					http://pbs.twimg.com/profile_images/378800000345480498/c041c24de8e4acc0990ca8a1733b6868_normal.jpeg					"detikcom

"																			34	8320196	698874	25	25200	"Official Twitter Account of http://t.co/Ecx3lje4oN.
Contact: redaksi@detik.com | promosi@detik.com"	"Jakarta, Indonesia"	http://t.co/Ecx3lje4oN	Jakarta	40052.12714	Open Twitter Page for This Person	https://twitter.com/detikcom	No					
1belieberf					http://pbs.twimg.com/profile_images/523889299247226881/TSaVXtyh_normal.jpeg					"1belieberf

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			94	108	2359	2084		Si Queres #FollowBack Solo Pidelo! #Belieber #Selenator #Blusher I Love @realmandyrain		http://t.co/F4kRifTpLH		41923.94014	Open Twitter Page for This Person	https://twitter.com/1belieberf	Yes					
mhoranj					http://pbs.twimg.com/profile_images/524385778911019009/hpBtmAX7_normal.png					"mhoranj

RT @zaynmalik: UK, have you pre-orderded
Steal My Girl? :) http://t.co/Gu85h9G5eJ"																			689	1673	34377	30149	-7200	shippo 1d na minha cama		http://t.co/A7LAK9Z4U5	Mid-Atlantic	41253.6826	Open Twitter Page for This Person	https://twitter.com/mhoranj	Yes					
gtaroblox					http://pbs.twimg.com/profile_images/527265001518956546/FsAAU02i_normal.jpeg					"gtaroblox

@rumble_apple make me icins for
twitter and youtube :)"																			110	23	225	19		? ???? ???¢???g ??????? ?????? ???	N?o?w?h?e?r?e? ?_?			41550.68063	Open Twitter Page for This Person	https://twitter.com/gtaroblox	Yes					
sirshiggidy					http://pbs.twimg.com/profile_images/3521387653/91fa5e2e57cfe7b9918b3252c19c7b2b_normal.jpeg					"sirshiggidy

First ever juicer :) pretty easy.
Apple's, carrots, spinach n kale
http://t.co/Z6wHCSDboE"																			218	211	9489	1212	-25200	"Running enthusiast. Lover of good times, interesting folks, being positive. A tweeter of legendarily horrible puns."	Arizona		Pacific Time (US & Canada)	39959.91782	Open Twitter Page for This Person	https://twitter.com/sirshiggidy	Yes					
selouniall					http://pbs.twimg.com/profile_images/510486320691429376/KXLtKjAB_normal.jpeg					"selouniall

RT @zaynmalik: UK, have you pre-orderded
Steal My Girl? :) http://t.co/Gu85h9G5eJ"																			293	162	3866	5053	-16200	I love Selena x https://t.co/Eiqx5cNX6H	Venezuela		Caracas	41284.85645	Open Twitter Page for This Person	https://twitter.com/selouniall	Yes					
naochulada					http://pbs.twimg.com/profile_images/2569043645/noz5xckkmz38b28jquey_normal.jpeg					"naochulada

I probably shouldn't have opened
the door for this guy: http://t.co/n7BAdzmhmr
:D http://t.co/rBgJUNFD8c"																			228	216	2082	167	-18000	Escribo. Cocino. Insolencio. ???????????????????????…	Mexico City	http://t.co/EYQmtfbKrg	Central Time (US & Canada)	40669.62644	Open Twitter Page for This Person	https://twitter.com/naochulada	Yes					
the_zett					http://pbs.twimg.com/profile_images/483301975757692929/9Q9-hz4g_normal.jpeg					"the_zett

Sweet concept! Apple Watch like
OS for iOS 8.1 :D http://t.co/rLGal9YaKO"																			39	3757	15048	8	3600	I tweet about PSP and PS Vita hacking related topics. I also tweet about other stuff I want to share.	"NRW, GRO?DEUTSCHLAND"	http://t.co/Adz67mk30w	Vienna	40602.62506	Open Twitter Page for This Person	https://twitter.com/the_zett	Yes					
mylifesyouharry					http://pbs.twimg.com/profile_images/523710960461021184/BY-wWUXH_normal.png					"mylifesyouharry

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			191	184	4067	99	-7200	"? Smallville TMI One Direction? Meus anjos caíram do céu, só faltou acertarem o lugar certinho @itszaynjavadd @ninfetavato ?"	Na Coxa Do Harry Styles	http://t.co/Wm2FiLlNLO	Brasilia	41533.93796	Open Twitter Page for This Person	https://twitter.com/mylifesyouharry	Yes					
jaimie_tr					http://pbs.twimg.com/profile_images/2618360134/9wa1tci0yeqmp6d0c8w5_normal.jpeg					"jaimie_tr

@mattwitz Sounds great! Let's touch
base when we are both in the Big
Apple!! :) #16days"																			161	192	3597	4432	-18000	DePaul University DECA President and Resident Advisor	Chicago 		Central Time (US & Canada)	40946.1958	Open Twitter Page for This Person	https://twitter.com/jaimie_tr	Yes					
mattwitz					http://pbs.twimg.com/profile_images/520372810573946880/cjSoFj5M_normal.jpeg					"mattwitz

"																			294	157	983	277	-25200	Collegiate DECA Executive Vice President	"Harwich, Massachusetts"	http://t.co/ONPuH4KWiI	Pacific Time (US & Canada)	39985.06181	Open Twitter Page for This Person	https://twitter.com/mattwitz	No					
chiim548					http://pbs.twimg.com/profile_images/527254674995310592/5Ta2vN2P_normal.jpeg					"chiim548

RT @Louis_Tomlinson: :) go get
it now !!!!! Please :) http://t.co/SdJtv1Lr6u"																			795	419	3437	539	28800	DADA'S MY ?	"Calbayog City, United Kingdom"	http://t.co/goSE2u2l0w	Beijing	41224.37471	Open Twitter Page for This Person	https://twitter.com/chiim548	Yes					
wesleystrombevg					http://pbs.twimg.com/profile_images/521331801948954624/BZtLAazD_normal.jpeg					"wesleystrombevg

RT @EmbIem3Canada: @jimmyfallon
@EmblemThree released an amazing
EP check it out http://t.co/6BrzBYnDu0
They should perform on your show
:)…"																			2001	1190	31878	6259	-18000	41701	Nicaragua ???	http://t.co/80iejKTjQV	Central Time (US & Canada)	41274.91524	Open Twitter Page for This Person	https://twitter.com/wesleystrombevg	Yes					
